"Postcode5","Postcode5Boundary","Postcode5CenterLat","Postcode5CenterLng"
"01001","kxodG`chOjG}Am@pHnG~@UvGfEaFFnDYfIkEGs@jHuEdEyCz@cFAoJqCy@{@_BwD{FWzDwPlJeF`LiD","42.8488253154","-2.67166804734"
"01002","u_qdGdbgOqAgPpEkI}Dc@mCuFlJa}@`FhCnA_CXiInF_TbIjAt@gAtHyn@jEwRdMxz@|FnA|HpFhFVMjF~RtS}@vEqDzBdAh_@kPhAaD|AiCkCgMbDeE`EcQCr@lK_V_AsB|TtNNzBj]pKoAl@pKmTfGmJdF{DvPcL~@dDke@uHyKtG}L","42.8477461711","-2.6521467418"
"01003","_zodGtbfO`BPs@mKbQBdEaEfMcDhCjCxDff@JzNo`@pHb@uJiIvHVtCqKnA{Bk]uNOrB}T|Rl@","42.8455614746","-2.66020543"
"01004","mpodGplgOpGmFc@tJrVoFzHaAeApX_@jA_IOeFjAyAEaCfESfAoAfAwBxCTwGoG_Al@qHeAgPv@iA","42.8440050692","-2.66661794693"
"01005","ijodGz|hOjEFXgIGoDRgA`CgExADdFkA~HNfBVJlB}@nOgC~`@_@`Bw@GmHsEsBrHe@j@e@e@}@kCmEoHp@qFu@mA_Cw@r@kH","42.8430165419","-2.67270279647"
"01006","ugndGhlhOFkGgBWxAyj@yDgf@`D}AjPiAbGeFlC{JFwS|@UbQ|@zUvLzLrCfHrJ~Ir^{De@}JbBeCa@_FyFk@`PaDdD|BxKu@b`@mBdCeHzAyR}Fy@sBUrBaCdr@bChLxDkAjJ`@Fr\iGsAgLcLyMs@@iF}XoDpEso@","42.8342649579","-2.66248129083"
"01007","itndGt_kO}CqOzEeNcD_AqDv@rBsHlHrEtZvDAhFxMr@bO`N`Td@cCrSoHj@k@jGdW`Lu@xg@qBbEcHw@wCnRpBOj@lAqErAtInYaNm@cBjAgHcIqAbFNfKyEl@sPu{@yu@iO`Uus@rBaP","42.8361561732","-2.69053276783"
"01008","}godG~giOt@lAq@pFjGzLd@d@vEcBbD~@{EdN`DxNi@|F}FfWqOhe@mGiA{MjBeDaBqEgFxFwe@tIefAnHUbHiF~Bv@","42.8472356784","-2.68463024691"
"01009","ykpdG`qjOzFz@iDna@wHln@oIgD_FiDuFgJ{M{p@t@qDfUqJhV~C","42.8542682716","-2.68589561533"
"01010","yrtdGnlkObB}HdHdAxCwAfA|AR}AdH@jH`Ud_@mTfGhThDCpG{FvH`^tFfJnPpIxg@lLwLlAqDnUsCcB{@iH{HzAc@hI`FdLkHt@tCnRoG}ByAdIwHLdJjMfWfDqHplA}G@eBni@aCaAyCug@mTQqKkFqLuMoC_G^_GqGyHaGvIeMmi@ScV{f@shBjCuW","42.8602690389","-2.70250067662"
"01012","k~pdG|biO|CQtAa@zFV~AvDx@z@nJpCkDtc@e^{EHgErA{MfB?_BgA}BkPnDK","42.852285775","-2.67696849051"
"01013","ewudG~_kOaCcqBjGcApC}G}KeGzFm]gAeOvHlQ|DHjJiLeQmhA`x@{a@rh@UlBvL|QtLuNlKsIn`@fUmG`WqR`DzLmJ`}@jIxGqEjIz@vR_GlJtHxKeDje@|ErReEbTgUpJlBjWqGzFiDBgGiTe_@lTkHaU}Ur@yDgJgEQ{G`RoNxEmK_FfEwI","42.8666080152","-2.66311752287"
"01015","erpdGhavOl@_jBdXdFtP``@jS_Mn]}FhN`AcAuGjRUdGsIzIpgAm@~`@eIna@wk@dH_DzTyWuD_IlG_OqAfSbYhWw@i@tTrDhNsR`X}]oAh@`QoOlIy@cEsFdb@qBo~CkLoHwDsU`@oJhLaC<br>ykpdGnjoOoDsNjHu@aFeLb@iIzH{AnElKpDoUvLmAyg@mL|@uGvJhIzMkBf~@rQtXnrA{a@nIqm@qDwSbp@lDsu@gWgDeJkMvHMxAeInG|BX{B","42.8430533005","-2.73152297136"
"01110","cxycGvpcMbqAdj@j]aKqH_Ut~@{m@dd@hUzb@sR|y@pC|_@n\tLu_@ng@}FeT{v@nC{p@`|@_Zv}@MbWdSZrwBzu@drCpUtCp`@`v@oSjmCbJtb@kDdTub@k_@a\xbAmR{`@mXp^}c@jpA}BrjCg_@xs@k\e^{Fb`@mc@zDaQtVic@sZsWus@_v@uHmaAvs@yGwd@jViDbkAciB~uAogAejAgHcL_{@isAu_A}ZdFeBgXkBjXwx@rAhNcWe`BvNzYqUsKgXl`Aob@vIcg@rh@kJg}@c_@_SlU}c@_d@yRwl@eCo|A|Ul@","42.6816406966","-2.35459510508"
"01117","iiedG~s`MfcAuiCd^aYb{Ca{@x^k]fG`o@hEkFzPf]nApeAlQ`_@vV~qBtCjz@}Um@bLzdAsFnZnQzh@|c@~c@jOuB_E}NrHyAvh@`HnS`V}h@rJcIrf@yTzE{IbTa`@vFrNfK_B~Kwf@tUa@bQfq@lj@s`@uFwOgV{n@jSfD`Xg]kSyTb@}Kfc@Miv@aMmYdF}K{m@}}@oFiiAoSc]r@{a@su@ms@|OsfCqj@nOol@zt@ib@rSeA_q@bH{ScNEbNeg@","42.7573249274","-2.31866199453"
"01118","g~cdGtxlNhm@qUndAgyAl^{Fb{@pqB|_C_`Alq@rZ~Tei@qWzKnF{j@js@qj@lh@pd@rWeSb\qe@~z@qjF`r@Qha@k`@s@{jArV_Yoc@{i@tLid@lc@{DzFc`@j\d^~]eu@d{AxlEvpB`xAlH`k@d{AjpAm\xqDfrBheNsj@xtEfnAzsEgPpmCkh@xFw|AmmBkh@oIsv@chBvJcqBmmBm|@mQgsEnk@e{Bc]gpAhZcWt[|VjM}|@as@_yCyxBfj@erB{FqMbeBbnBbw@tBtvDip@`L_zBj`DoK_~@jPwa@}mAte@kjBurCijAur@}uC}h@sIhf@`lAr_D{p@jK_s@pdA}c@wFcjAwuBxIyeBg]_kF","42.6745460065","-2.54457801338"
"01120","qubdGz~mMr_BmrA~n@bbAhFt}A|Kgc@`s@fRgDaXhx@}N`i@r]wStk@tc@|wAaLrk@lqB`i@hM|bAlp@gNlOxlAdS|CkDdn@pb@{RbRhOtv@mm@|]nPm_@xcCqw@rCq\nb@qn@~pEwt@vy@_Xch@obAjl@yGrl@pW{K_Udi@mq@sZ}_C~_A{eAgrB~b@{f@olBa^naAuz@pUox@eWWrVcd@eJsbAfk@lHbZoz@wMei@yRt@odB~`Bk|AbjE|\b{@rg@ec@yQxbA~j@xZ{g@dfAug@fFi]}yD|o@s~B{l@guFc`@ibAsIgoDfjAak@ol@hQji@efAn{@fGkPiuA","42.7458315796","-2.44629558313"
"01128","}czcG`pmMd`BwNfA~HsIV}EjLvx@sAeGcBNiO`J}DdBfXvVQdCsEhsAt_AMdZpLx_@dUrH`m@qD~EdGuQpPgRTa[p]lFj@o[hRgcAfaBiZ`QmHab@yPiA}OkPmPdDoa@gPwE~B_TiM`Lsk@uc@}wAvSuk@kr@qn@`@cQzKC<br>albdGryaNp]{~@vmAyrAld@oGxCfLuHtI|LGtDnQ{Sxt@kTdHc\}KrIb]Pnd@sVbd@dWVgSzs@eNtPwj@rZ{H~Qh|Ad`@dOcA{a@dk@gXjEaZz]wd@uMqLeQxQybAeTnZmRtGcZgf@{A}Oze@ucBrE]nU}o@","42.7371448288","-2.42632324205"
"01129","adgdGl~pMo@kfBbyAyW|LDv[`NdJjPoCfE`VlaAe@rLkH@yB_Iin@t@ki@dfAnl@iQ_g@ff@kMc@cEqOwMnUrIfoDc]mX{GjKdBg_@sFyM^aT{J_k@lOoaC<br>mrncGt_yMsBhTaI~NhCxLuv@lm@cRiOqb@zRoAsa@zFqKeS}CcDyd@{KeSp@yRkYaEhi@m^`w@tHCzMfe@jr@vF[`N|M`QuV","42.7606204128","-2.40165294982"
"01130","mcteGd``PtUqhBh{Gnj@~hBuUbq@ed@lpA|jBt_Ck]g^dhBl|Aj_CtYzA{LtxEol@niAmuA`Qgh@fr@oRiY_jCmFch@d`A{_AgToa@pMmzDzjEmiAj@oHqoBueAahAwBfWaToLgQenCbgBskG|C{cE<br>{jceG`yfPoZdHl\n_ApQcw@oSqP","42.9860618569","-2.83681515576"
"01138","_hseG|woO}EkWhw@qdAwHk^tbAwH`_Ais@xeCvRz]~c@rx@_s@b\~Udj@uFbLbj@l~@f^zOkr@j_@r[za@oGniAyw@|l@zp@bAvgAjn@pu@e{BlxMaS~Uk]kQ}v@`b@}p@aBmpA}jBcq@dd@_iBtUupGwi@lLmmCkm@i_A~~@acAeh@izAfCip@","42.968822978","-2.73079292651"
"01139","{jceG`yfPnSpP{Cbh@uBfH_IvDeJwDyNm]mAi[bFyDjSkB<br>ez~dGbi_PdJ|ExEUrLrPtJtDbIlOrIvDr@phAnRfBsC`[~CtLuCxk@cN~B{Dg@uDsDiI{UmP_Q_EW{@uFwNiOaWyQ_CiIt@mCuNe\pc@{qAtA_@","42.9249456055","-2.8076742615"
"01160","kaxeGvxrNd@pBVnM~@I~AgGbB?lTxSz@pEpEh@d@dCSx@cA~@KhC{B?kAt@kBQ{DdFmKlGsBf@cAvAy@A_BcBb@oh@{ByBAcCeAeB{AyH@qDz@mA`C?jAjA","43.0523457112","-2.56494534699"
